Пикачу*1|123|23|1|3|12|123|2|3|125
Пиджи*1|123|12|1234|123|123|123|1|3|125
Мяут*1|123|12|1234|123|123|123|2|3|1234
Коффинг*1|123|3|34|2|123|123|12|3|45
Бульбазавр*1|2|2|1234|123|123|12|2|3|5
Иви*1|123|12|1234|123|123|123|2|2|1235
Джолтеон*1|123|123|14|4|12|123|2|2|35
Джиглипуф*1|123|3|24|123|123|123|2|3|234
Чармелеон*1|3|23|1234|1|123|123|2|1|245
Псайдак*1|123|3|24|123|123|123|123|3|234
Венузавр*1|2|123|1234|123|123|12|2|1|15
Понита*1|3|12|1234|1|123|123|2|2|1
Додуо*1|123|12|1234|123|123|123|12|2|145
Випинбел*1|2|23|234|2|123|12|2|3|123
Оддиш*1|2|23|34|123|123|12|2|3|123
Диглет*1|2|123|1234|123|123|123|2|3|1
Поливаг*1|1|23|1234|123|123|123|3|3|12
Вульпикс*1|3|12|1234|1|123|123|2|3|12
Бластойз*1|1|123|1234|123|123|123|23|1|45
Геодуд*1|3|1|1234|123|123|123|2|2|5
Слоупок*2|123|123|1234|123|123|123|123|123|12345
